signal_time,entry_datetime,entry_month,entry_time,entry_price,entry_spread,vix_at_entry,vix_at_entry_time,indicator,exit_datetime,exit_spread,exit_price,exit_reason,sl_price,price_difference,pnl,expiry,opttype,buy_leg_strike,sell_leg_strike,buy_leg_entry_price,sell_leg_entry_price,buy_leg_exit_price,sell_leg_exit_price,max_profit_time,max_profit_pnl,min_profit_time,min_profit_pnl
2022-04-05 14:30:00,2022-04-05 14:46:00,April,14:46:00,18009.1,56.15,18.34,2022-04-05T14:46:00.000000,vix_higher_than_threshold,2022-04-05 15:08:00,60.8,17976.85,stop_loss,17982.086349999998,-5.23634999999922,-232.49999999999974,2022-04-07,PE,17800,18000,24.35,80.5,26.8,87.6,2022-04-05 14:46:00,-15.000000000000213,2022-04-05 15:04:00,-260.00000000000034
2022-04-21 11:00:00,2022-04-21 11:16:00,April,11:16:00,17334.45,42.5,18.19,2022-04-21T11:16:00.000000,vix_higher_than_threshold,2022-04-21 15:16:00,0.19999999999999998,17386.9,time_exit,17308.448325,78.45167500000025,2115.0,2022-04-21,PE,17150,17350,5.45,47.95,0.1,0.3,2022-04-21 15:03:00,2115.0,2022-04-21 15:09:00,2057.5000000000005
2022-04-28 11:45:00,2022-04-28 12:01:00,April,12:01:00,17170.55,24.900000000000002,19.85,2022-04-28T12:01:00.000000,vix_higher_than_threshold,2022-04-28 15:20:00,0.0,17241.65,time_exit,17144.794175,96.85582500000237,1245.0,2022-04-28,PE,16950,17150,2.65,27.55,0.1,0.1,2022-04-28 15:18:00,1245.0,2022-04-28 15:18:00,1245.0
2022-04-29 10:15:00,2022-04-29 10:31:00,April,10:31:00,17307.1,68.14999999999999,18.96,2022-04-29T10:31:00.000000,vix_higher_than_threshold,2022-04-29 14:10:00,72.7,17279.7,stop_loss,17281.139349999998,-1.4393499999969208,-227.50000000000057,2022-05-05,PE,17100,17300,71.7,139.85,75.8,148.5,2022-04-29 13:12:00,694.9999999999999,2022-04-29 14:08:00,-227.50000000000057
2022-05-17 10:30:00,2022-05-17 10:46:00,May,10:46:00,16072.0,64.95,23.48,2022-05-17T10:46:00.000000,vix_higher_than_threshold,2022-05-17 14:46:00,33.15,16230.45,time_exit,16047.892,182.5580000000009,1590.0000000000002,2022-05-19,PE,15850,16050,66.05,131.0,28.85,62.0,2022-05-17 14:44:00,1609.9999999999998,2022-05-17 14:45:00,1582.5
2022-05-17 15:15:00,2022-05-18 09:16:00,May,09:16:00,16322.35,60.24999999999999,22.42,2022-05-18T09:16:00.000000,vix_higher_than_threshold,2022-05-18 12:19:00,62.1,16297.3,stop_loss,16297.866475,-0.5664750000014465,-92.50000000000043,2022-05-19,PE,16100,16300,38.35,98.6,38.85,100.95,2022-05-18 09:53:00,884.9999999999998,2022-05-18 10:17:00,-305.00000000000045
2022-05-18 13:30:00,2022-05-18 13:46:00,May,13:46:00,16348.1,61.800000000000004,22.27,2022-05-18T13:46:00.000000,vix_higher_than_threshold,2022-05-18 13:49:00,63.60000000000001,16323.0,stop_loss,16323.57785,-0.5778499999996711,-90.00000000000003,2022-05-19,PE,16150,16350,29.85,91.65,30.8,94.4,2022-05-18 13:46:00,-12.499999999999467,2022-05-18 13:49:00,-90.00000000000003
2022-05-20 13:00:00,2022-05-20 13:16:00,May,13:16:00,16211.9,73.85,23.48,2022-05-20T13:16:00.000000,vix_higher_than_threshold,2022-05-20 13:58:00,78.4,16183.65,stop_loss,16187.58215,-3.932150000000547,-227.50000000000057,2022-05-26,PE,16000,16200,114.25,188.1,121.1,199.5,2022-05-20 13:24:00,84.99999999999943,2022-05-20 13:43:00,-272.5000000000001
2022-05-20 14:30:00,2022-05-20 14:46:00,May,14:46:00,16235.6,76.55000000000001,23.25,2022-05-20T14:46:00.000000,vix_higher_than_threshold,2022-05-23 09:35:00,83.94999999999999,16207.75,stop_loss,16211.2466,-3.4966000000003987,-369.99999999999886,2022-05-26,PE,16050,16250,112.85,189.4,115.15,199.1,2022-05-23 09:16:00,717.4999999999998,2022-05-23 09:35:00,-369.99999999999886
2022-05-23 09:45:00,2022-05-23 10:01:00,May,10:01:00,16309.35,76.45000000000002,23.47,2022-05-23T10:01:00.000000,vix_higher_than_threshold,2022-05-23 14:01:00,72.19999999999999,16313.3,time_exit,16284.885975000001,28.41402499999822,212.50000000000142,2022-05-26,PE,16100,16300,98.35,174.8,86.65,158.85,2022-05-23 13:31:00,1170.0000000000007,2022-05-23 14:01:00,212.50000000000142
2022-05-27 12:15:00,2022-05-27 12:31:00,May,12:31:00,16284.85,77.55,21.8,2022-05-27T12:31:00.000000,vix_higher_than_threshold,2022-05-30 10:16:00,22.6,16625.2,time_exit,16260.422725,364.7772750000004,2747.500000000001,2022-06-02,PE,16100,16300,108.7,186.25,21.35,43.95,2022-05-30 10:05:00,2767.5000000000005,2022-05-30 10:13:00,2710.000000000001
2022-05-30 10:45:00,2022-05-30 11:01:00,May,11:01:00,16655.65,74.05,20.26,2022-05-30T11:01:00.000000,vix_higher_than_threshold,2022-05-30 14:14:00,75.20000000000002,16625.85,stop_loss,16630.666525,-4.816525000002002,-57.500000000000995,2022-06-02,PE,16450,16650,71.95,146.0,70.6,145.8,2022-05-30 11:45:00,402.4999999999995,2022-05-30 12:55:00,-120.00000000000028
2022-05-30 14:45:00,2022-05-30 15:01:00,May,15:01:00,16659.1,69.49999999999999,20.08,2022-05-30T15:01:00.000000,vix_higher_than_threshold,2022-05-31 09:15:00,85.14999999999999,16557.45,stop_loss,16634.11135,-76.66134999999849,-782.5000000000002,2022-06-02,PE,16450,16650,62.2,131.7,69.8,154.95,2022-05-30 15:04:00,17.499999999999005,2022-05-31 09:15:00,-782.5000000000002
2022-05-31 13:30:00,2022-05-31 13:46:00,May,13:46:00,16658.75,66.15,20.01,2022-05-31T13:46:00.000000,vix_higher_than_threshold,2022-05-31 15:00:00,71.35,16619.05,stop_loss,16633.761875,-14.711875000000873,-259.99999999999943,2022-06-02,PE,16450,16650,49.25,115.4,53.5,124.85,2022-05-31 14:05:00,390.00000000000057,2022-05-31 14:40:00,-307.49999999999955
2022-06-03 10:45:00,2022-06-03 11:01:00,June,11:01:00,16746.15,75.0,19.22,2022-06-03T11:01:00.000000,vix_higher_than_threshold,2022-06-03 11:05:00,79.55,16720.6,stop_loss,16721.030775000003,-0.43077500000435975,-227.49999999999986,2022-06-09,PE,16550,16750,83.4,158.4,88.2,167.75,2022-06-03 11:01:00,-24.99999999999929,2022-06-03 11:05:00,-227.49999999999986
